"","genusName","speciesName","updateName","evergreenDeciduous","fruitSize.cm.","seedSize.mm.","droughtTolerance","familyName","typeMonoOrDio","Biome","Elevation","floweringDuration","pollination","seedDispersal","seedPredator","lifeSpanMax","reprodAge","seedDormancy","seedWeights","mastEvent","mastCycle","shadeTolerance","leafLongevity","oilContent","proteinContent","mastCycleAve","fruitSizeAve","seedSizeAve","latbi","seedDispersalDetails"
"96","Cedrela","odorata",NA,"Deciduous","2.5 to 4","20 to 25",NA,"Meliaceae","Monoecious","Tropical","low to mid",NA,NA,"abiotic",NA,NA,NA,"N",17.02,"N",NA,"intolerant",0.136666667,21.4,25,NA,3.25,22.5,"Cedrela_odorata","wind"
"97","Celtis","laevigata",NA,"Deciduous","0.6-1.3",NA,"Moderate","Ulmaceae","Polygamous","Temperate","low to mid",NA,NA,"both","birds","150","15",NA,75.71,"N",NA,"tolerant",NA,NA,NA,NA,NA,NA,"Celtis_laevigata","water, birds"
"98","Celtis","occidentalis",NA,"Deciduous","0.6-1.1","6","High","Ulmaceae","Polygamous","Temperate","low to mid",NA,NA,"biotic","birds, mammals","200",NA,"Y",126.44,"N/or maybe",NA,"intermediate",0.458333333,10.4,11.2,NA,NA,6,"Celtis_occidentalis","birds, mammals"
"99","Cercis","canadensis",NA,"Deciduous","5 to 10","6","High","Leguminosae","Monoecious","Temperate","low to mid",NA,"animals","both","insects, mammals","75",NA,"Y",24.6,NA,NA,"tolerant",NA,8.25,25.2,NA,7.5,6,"Cercis_canadensis","wind, mammals"
"100","Cordia","alliodora",NA,"Evergreen","0.5 to 0.7","6",NA,"Boraginaceae","Dioecious","Tropical","low to mid",NA,"wind and animals","abiotic","birds, rodents",NA,"5","Y",30.77,NA,NA,"intolerant",NA,NA,NA,NA,0.6,6,"Cordia_alliodora","wind"
"101","Cornus","florida",NA,"Deciduous","1 to 1.5","7 to 9","Moderate","Cornaceae","Monoecious","Temperate","low to mid",NA,NA,"biotic","birds, mammals","125","6","Y",101.87,"Y",NA,"tolerant",0.466666667,NA,NA,NA,1.25,8,"Cornus_florida","birds, mammals"
"102","Dacryodes","excelsa",NA,"Evergreen","1.9",NA,NA,"Burseraceae","Dioecious","Tropical","low to mid",NA,NA,NA,"birds, mammals","400",NA,"N",0.58,NA,NA,"intermediate",NA,NA,NA,NA,1.9,NA,"Dacryodes_excelsa",NA
"103","Didymopanax","morototoni",NA,"Deciduous","0.4 to 0.9","4.7 to 5",NA,"Araliaceae","Monoecious","Tropical","low to mid",NA,"animals","biotic","birds",NA,"10","Y",14,"N",NA,"intolerant",NA,NA,NA,NA,0.65,4.85,"Didymopanax_morototoni","birds"
"104","Diospyros","virginiana",NA,"Deciduous","2 to 5","13 to 15","High","Ebenaceae","Dioecious","Temperate","low to mid",NA,NA,"biotic","insects","80","4 to 5","Y",364.57,"Y",NA,"tolerant",NA,2.6,10,NA,3.5,14,"Diospyros_virginiana","birds, mammals"
"105","Eucalyptus","globulus",NA,"Evergreen","2 to 2.5","2",NA,"Myrtaceae",NA,"Temperate","low to mid",NA,NA,"abiotic",NA,"400",NA,"N",37.36,"Y","3 to 5","intolerant",NA,NA,NA,4,2.25,2,"Eucalyptus_globulus","wind"
"106","Eucalyptus","grandis",NA,"Evergreen","0.4 to 1","1 to 1.7",NA,"Myrtaceae",NA,"Tropical to subtropical","low",NA,"animals",NA,NA,NA,NA,"N",1.18,"N",NA,"intolerant",NA,NA,NA,NA,0.7,1.35,"Eucalyptus_grandis",NA
"107","Eucalyptus","robusta",NA,"Evergreen","1 to 1.8","1 to 2",NA,"Myrtaceae",NA,"Tropical to subtropical","low",NA,"animals","abiotic",NA,">200",NA,"N",3.15,"N",NA,"intolerant",NA,NA,NA,NA,1.4,1.5,"Eucalyptus_robusta","wind"
"108","Eucalyptus","saligna",NA,"Evergreen","0.4 to 0.9","1.3",NA,"Myrtaceae",NA,"Subtropical","low to mid",NA,"animals","abiotic",NA,"200","3 to 4","N",0.79,NA,NA,"intolerant",NA,NA,NA,NA,0.65,1.3,"Eucalyptus_saligna","wind"
"109","Fagus","grandifolia",NA,"Deciduous","2","10 to 20","Moderate","Fagaceae","Monoecious","Temperate","low to mid",NA,NA,"biotic","birds, rodents","400","40","Y",265.74,"Y","2 to 8","tolerant",NA,NA,NA,5,2,15,"Fagus_grandifolia","rodents, birds"
"110","Fraxinus","americana",NA,"Deciduous","2.5 to 4.4",NA,"Moderate","Oleaceae","Dioecious","Temperate","low to mid",NA,"wind","abiotic","birds","250","20","Y",37.3,"Y",NA,"intolerant",NA,33.4,25.2,NA,3.45,NA,"Fraxinus_americana","wind"
"111","Fraxinus","latifolia",NA,"Deciduous","3 to 5",NA,"Low","Oleaceae","Dioecious","Temperate","low",NA,NA,"abiotic","birds, rodents","250","30","Y",40.96,"Y","3 to 5","intermediate",NA,NA,NA,4,4,NA,"Fraxinus_latifolia","wind"
"112","Fraxinus","nigra",NA,"Deciduous","2.5 to 5",NA,"Low","Oleaceae","Polygamous","Temperate","low to mid",NA,NA,"abiotic","birds, mammals","150",NA,"Y",55.28,"Y",NA,"intolerant",NA,NA,NA,NA,3.75,NA,"Fraxinus_nigra","wind"
"113","Fraxinus","pennsylvanica",NA,"Deciduous","2.5 to 7.5",NA,"High","Oleaceae","Dioecious","Temperate","low to mid",NA,NA,"abiotic","birds, mammals","250",NA,"Y",32.82,NA,NA,"tolerant",NA,NA,NA,NA,5,NA,"Fraxinus_pennsylvanica","wind, water"
"114","Fraxinus","profunda",NA,"Deciduous","5 to 8",NA,"Low","Oleaceae","Dioecious","Temperate","low",NA,NA,"abiotic","birds",NA,"10",NA,142.32,"Unknown",NA,"intermediate",NA,NA,NA,NA,6.5,NA,"Fraxinus_profunda","wind, water"
"115","Gleditsia","triacanthos",NA,"Deciduous","7 to 45","8","High","Leguminosae","Polygamous","Temperate","low to mid",NA,NA,"biotic","mammals","125","10","PY",168.58,"N",NA,"intolerant",NA,2.7275,22.15,NA,26,8,"Gleditsia_triacanthos","animals"
"116","Gordonia","lasianthus",NA,"Evergreen","1.5 to 2","1.5","Low","Theaceae",NA,"Temperate to subtropical","low",NA,"animals","abiotic",NA,"100",NA,NA,3.51,NA,NA,"tolerant",NA,NA,NA,NA,1.75,1.5,"Gordonia_lasianthus","wind"
"117","Grevillea","robusta",NA,"Evergreen","1.5 to 2","10 to 13","Moderate","Proteaceae","Monoecious","Tropical to subtropical","low to mid",NA,NA,"abiotic",NA,"100","10","N",20.1,"N",NA,"intolerant",NA,NA,NA,NA,1.75,11.5,"Grevillea_robusta","wind"
"118","Halesia","carolina",NA,"Deciduous","2.4 to 5","13 to 16","Moderate","Styracaceae","Dioecious","Temperate","low to mid",NA,NA,NA,"rodents","100",NA,"Y",281.52,"N",NA,"tolerant",NA,NA,NA,NA,3.7,14.5,"Halesia_carolina",NA
"119","Ilex","opaca",NA,"Evergreen","0.6 to 1.3",NA,"Moderate","Aquifoliaceae","Dioecious","Temperate","low to mid",NA,"animals","biotic",NA,"100",NA,"Y",17.2,"N",NA,"tolerant",1.5,NA,NA,NA,0.95,NA,"Ilex_opaca","birds, mammals"
"120","Juglans","cinerea",NA,"Deciduous","3 to 6",NA,"Low","Juglandaceae","Monoecious","Temperate","low to mid",NA,NA,"biotic","insects, rodents","100","20","Y",14026.39,"Y","2 to 3","intolerant",NA,NA,NA,2.5,4.5,NA,"Juglans_cinerea","gravity, rodents"
"121","Juglans","nigra",NA,"Deciduous","4 to 7","30 to 40","Low","Juglandaceae","Monoecious","Temperate","low to mid",NA,NA,"both","rodents","250","4","Y",11302.54,"Y",NA,"intolerant",NA,55.8,NA,NA,5.5,35,"Juglans_nigra","gravity, rodents, mammals"
"122","Liquidambar","styraciflua",NA,"Deciduous","2.5 to 3.8","6","Low","Hamamelidaceae","Monoecious","Tropical to subtropical","low to mid",NA,NA,"abiotic","birds, rodents","300","20","Y",5.01,"Y",NA,"intolerant",0.6,NA,NA,NA,3.15,6,"Liquidambar_styraciflua","wind"
"123","Liriodendron","tulipifera",NA,"Deciduous","2.5 to 3.5",NA,"Moderate","Magnoliaceae","Monoecious","Temperate","low to mid",">30","animals","abiotic","birds, rodents","450",NA,"Y",57.18,"N",NA,"intolerant",NA,NA,NA,NA,3,NA,"Liriodendron_tulipifera","wind"
"124","Lithocarpus","densiflorus","Notholithocarpus densiflorus","Evergreen","2 to 3.5",NA,NA,"Fagaceae","Monoecious","Temperate","low to mid",NA,NA,"biotic","birds, mammals, rodents","350",NA,"N",5929.5,"N",NA,"tolerant",NA,NA,NA,NA,2.75,NA,"Notholithocarpus densiflorus","birds, rodents"
"125","Maclura","pomifera",NA,"Deciduous","8 to 15","10","High","Moraceae","Dioecious","Temperate","low to mid",NA,NA,"biotic","no","150","10","Y",31.78,"N",NA,"intolerant",NA,44.5,38.2,NA,11.5,10,"Maclura_pomifera","birds, mammals"
"126","Magnolia","acuminata",NA,"Deciduous","6 to 8","13","Low","Magnoliaceae","Monoecious","Temperate","mid to high","<10","animals","both","birds, rodents","250","30","Y",88.51,"Y","4 to 5","intermediate",NA,NA,NA,4.5,7,13,"Magnolia_acuminata","gravity, wind, water, birds"
"127","Magnolia","fraseri",NA,"Deciduous","6.5 to 12","7 to 10","Low","Magnoliaceae","Monoecious","Temperate","mid to high",NA,NA,"biotic",NA,NA,NA,NA,99.84,"Y","4 to 5","intermediate",NA,NA,NA,4.5,9.25,8.5,"Magnolia_fraseri","mammals, birds"
"128","Magnolia","grandiflora",NA,"Evergreen","7.5 to 15","6 to 13","Moderate","Magnoliaceae","Monoecious","Temperate to subtropical","low",NA,NA,"biotic","mammals","120","10","Y",72.93,"N",NA,"tolerant",2,49.45,8.8,NA,11.25,9.5,"Magnolia_grandiflora","birds, mammals"
"129","Magnolia","virginiana",NA,"Evergreen","3 to 5","6 to 13","Low","Magnoliaceae","Monoecious","Temperate to subtropical","low",">30","animals","both","birds, rodents","130",NA,"Y",62.3,"N",NA,"intermediate",NA,NA,NA,NA,4,9.5,"Magnolia_virginiana","wind, water, birds"
"130","Manilkara","bidentata",NA,"Evergreen","2.5 to 5","9 to 26","Low","Sapotaceae","Monoecious","Tropical","low to mid",NA,NA,"biotic","mammals","400",NA,"Y",1500,"Y","3 to 4","tolerant",1.744281046,NA,NA,3.5,3.75,17.5,"Manilkara_bidentata","birds, mammals"
"131","Melaleuca","quinquenervia",NA,"Evergreen","0.25 to 0.4","0.6 to 1.2","Low","Myrtaceae","Monoecious","Tropical to subtropical","low",NA,"animals","abiotic","birds, rodents",NA,NA,"N",0.26,"N",NA,"intolerant",NA,NA,NA,NA,0.325,0.9,"Melaleuca_quinquenervia","gravity, water"
"132","Metrosideros","polymorpha",NA,"Evergreen","0.3 to 1","0.5 to 4.5",NA,"Myrtaceae",NA,"Tropical","broad",NA,"animals",NA,NA,NA,NA,"N",0.04,"N",NA,"intermediate",NA,NA,NA,NA,0.65,2.5,"Metrosideros_polymorpha",NA
"133","Morus","rubra",NA,"Deciduous","2 to 3",NA,"Moderate","Moraceae","Dioecious","Temperate","low to mid",NA,NA,"biotic","mammals","125","4","Y",1.48,"Y","2 to 3","tolerant",NA,37.6,25.6,2.5,2.5,NA,"Morus_rubra","birds, mammals"
"134","Nyssa","aquatica",NA,"Deciduous","1 to 4",NA,"Low","Cornaceae","Polygamous","Temperate to subtropical","low",NA,"wind","abiotic",NA,NA,"30",NA,694.75,"N",NA,"intolerant",NA,NA,NA,NA,2.5,NA,"Nyssa_aquatica","water"
"135","Nyssa","ogeche",NA,"Deciduous","3 to 4",NA,"Low","Cornaceae","Polygamous","Temperate to subtropical","low",NA,"animals","both","water",NA,"3",NA,337.77,"N",NA,"intolerant",NA,8.15,5.6,NA,3.5,NA,"Nyssa_ogeche","gravity, water, birds, mammals"
"136","Nyssa","sylvatica var. biflora","Nyssa biflora","Deciduous",NA,NA,NA,"Cornaceae","Polygamous","Temperate","low",NA,NA,"biotic","birds",NA,NA,NA,192.44,"N",NA,"tolerant",NA,NA,NA,NA,NA,NA,"Nyssa biflora","gravity, birds, mammals"
"137","Ostrya","virginiana",NA,"Deciduous","1 to 1.8",NA,"High","Betulaceae","Monoecious","Temperate","low to mid",NA,"wind","both","birds","150","25","Y",15.41,NA,NA,"tolerant",NA,NA,NA,NA,1.4,NA,"Ostrya_virginiana","wind, birds"
"138","Oxydendrum","arboreum",NA,"Deciduous","0.5 to 1.3",NA,"Moderate","Ericaceae","Monoecious","Temperate","mid",NA,"animals","abiotic",NA,"200",NA,NA,0.17,NA,NA,"tolerant",NA,NA,NA,NA,0.9,NA,"Oxydendrum_arboreum","wind"
"139","Paulownia","tomentosa",NA,"Deciduous","2.5 to 5.1","1.5 to 3","Moderate","Scrophulariaceae","Monoecious","Temperate","low to mid",NA,NA,"abiotic",NA,"70","8","N",0.23,"N",NA,"intolerant",NA,47.7,28.8,NA,3.8,2.25,"Paulownia_tomentosa","wind"
"140","Persea","borbonia","Tamala borbonia","Evergreen","0.7 to 1","0.5 to 1","Moderate","Lauraceae","Monoecious","Temperate to subtropical","low to mid",NA,"wind and animals","biotic","mammals",NA,NA,"Y",NA,"N",NA,"tolerant",NA,NA,NA,NA,0.85,0.75,"Tamala borbonia","birds, mammals"
"141","Pithecellobium","saman","Samanea saman","Deciduous","10 to 22","8 to 11.5","High","Leguminosae","Monoecious","Tropical","low",NA,"animals","biotic","birds",NA,NA,"N",164.94,NA,NA,"intolerant",NA,NA,NA,NA,16,9.75,"Samanea saman","rodents, birds"
"142","Platanus","occidentalis",NA,"Deciduous","2.5 to 3.5","9","Low","Platanaceae","Monoecious","Temperate","low",NA,NA,"both","birds, rodents","600","25","N",2.85,"Y",NA,"intermediate",NA,6.3,11.6,NA,3,9,"Platanus_occidentalis","wind, water, birds"
"143","Populus","balsamifera",NA,"Deciduous","0.5 to 0.8","2","Low","Salicaceae","Dioecious","Temperate to boreal","mid to high",NA,"wind","abiotic","no","200","8","N",0.24,"N",NA,"intolerant",0.3,NA,NA,NA,0.65,2,"Populus_balsamifera","wind, water"
"144","Populus","deltoides var occidentalis","Populus deltoides subsp. monilifera","Deciduous","0.8 to 1.2","4",NA,"Salicaceae","Dioecious","Temperate","low",NA,"wind","abiotic","no","200","4",NA,0.08,"N",NA,"intolerant",NA,NA,NA,NA,1,4,"Populus deltoides subsp. monilifera","wind, water"
"145","Populus","grandidentata",NA,"Deciduous","0.5 to 0.8","1",NA,"Salicaceae","Dioecious","Temperate","low to mid",NA,"wind","abiotic","no","100","10","N",0.13,"Y","2 to 3","intolerant",NA,NA,NA,2.5,0.65,1,"Populus_grandidentata","wind"
"146","Populus","heterophylla",NA,"Deciduous","0.8 to 1.4",NA,"Low","Salicaceae","Dioecious","Temperate","low",NA,"wind","abiotic","no","100","10","N",3,"N",NA,"intolerant",NA,NA,NA,NA,1.1,NA,"Populus_heterophylla","wind, water"
"147","Populus","tremuloides",NA,"Deciduous","0.5 to 0.7","1 to 2","High","Salicaceae","Dioecious","Temperate to boreal","mid to high",NA,"wind","abiotic","no","200","2","N",0.12,"Y","4 to 5","intolerant",NA,NA,NA,4.5,0.6,1.5,"Populus_tremuloides","wind, water"
"148","Populus","trichocarpa","Populus tristis","Deciduous","0.5 to 0.8","2",NA,"Salicaceae","Dioecious","Temperate","low to mid",NA,NA,"abiotic","no","200","10",NA,NA,"N",NA,"intolerant",NA,NA,NA,NA,0.65,2,"Populus tristis","wind, water"
"149","Prosopis","pallida","Neltuma pallida","Deciduous","7 to 25","4 to 7",NA,"Leguminosae","Monoecious","Tropical","low",NA,"animals","biotic","insects",NA,"3","Y",38.69,NA,NA,"intolerant",NA,NA,NA,NA,16,5.5,"Neltuma pallida","animals"
"150","Prunus","pensylvanica",NA,"Deciduous","0.4 to 0.8","4 to 6","High","Rosaceae","Monoecious","Temperate","mid to high",NA,"animals","biotic",NA,"40",NA,"Y",43.46,"Y","3 to 4","intolerant",NA,NA,NA,3.5,0.6,5,"Prunus_pensylvanica","gravity, birds, mammals"
"151","Prunus","serotina",NA,"Deciduous","0.7 to 1",NA,"Moderate","Rosaceae","Monoecious","Temperate","low to mid",NA,"animals","biotic",NA,"250","10","Y",83.9,"Y","1 to 5","intolerant",0.458333333,NA,NA,3,0.85,NA,"Prunus_serotina","gravity, birds, mammals"
"152","Quercus","alba",NA,"Deciduous","1.2 to 2.5","1.2 to 2.5","Moderate","Fagaceae","Monoecious","Temperate","low to mid",NA,NA,"both","insects, mammals, rodents","500","20","N",2996.81,"Y","4 to 10","intermediate",NA,NA,NA,7,1.85,1.85,"Quercus_alba","gravity, wind, rodents"
"153","Quercus","bicolor",NA,"Deciduous","2 to 3","2 to 3",NA,"Fagaceae","Monoecious","Temperate","low to mid",NA,NA,"both","birds, mammals, rodents","350","20","N",3459.14,"Y","3 to 5","intermediate",NA,NA,NA,4,2.5,2.5,"Quercus_bicolor","gravity, water, rodents"
"154","Quercus","chrysolepis",NA,"Evergreen","2 to 5","2 to 5","High","Fagaceae","Monoecious","Temperate","mid to high",NA,"wind","biotic",NA,"300","15","Y",3220.26,"Y","2 to 4","tolerant",NA,NA,NA,3,3.5,3.5,"Quercus_chrysolepis","mammals, birds"
"155","Quercus","coccinea",NA,"Deciduous","1.3 to 2.5","1.3 to 2.5","Moderate","Fagaceae","Monoecious","Temperate","low to mid",NA,NA,"biotic","insects","200","20","Y",1931.37,"Y","4","intolerant",NA,NA,NA,4,1.9,1.9,"Quercus_coccinea","rodents, birds"
"156","Quercus","douglasii",NA,"Deciduous","2.5 to 4","2.5 to 4","High","Fagaceae","Monoecious","Temperate","low to mid",NA,NA,"biotic","birds, insects, rodents","300",NA,"N",4540.46,"Y","2 to 3","intolerant",NA,NA,NA,2.5,3.25,3.25,"Quercus_douglasii","bird, rodents, mammals"
"157","Quercus","falcata var. falcata",NA,"Deciduous","0.9 to 1.6","0.9 to 1.6",NA,"Fagaceae","Monoecious","Temperate","low",NA,NA,"biotic","rodents","150","25","Y",840.99,NA,NA,"intermediate",NA,NA,NA,NA,1.25,1.25,"Quercus_falcata var. falcata","gravity, rodents"
"158","Quercus","falcata var. pagodifolia",NA,"Deciduous",NA,NA,NA,"Fagaceae","Monoecious","Temperate","low",NA,NA,"biotic","rodents","150","25",NA,783.03,"Y",NA,"intermediate",NA,NA,NA,NA,NA,NA,"Quercus_falcata var. pagodifolia","gravity, rodents"
"159","Quercus","garryana",NA,"Deciduous","2.5 to 3","2.5 to 3","High","Fagaceae","Monoecious","Temperate","low to mid","<10",NA,"biotic","birds, rodents","500",NA,"N",4369.36,"Y",NA,"intermediate",NA,NA,NA,NA,2.75,2.75,"Quercus_garryana","gravity, rodents, birds"
"160","Quercus","kelloggii",NA,"Deciduous","2.5 to 3.5","2.5 to 3.5","High","Fagaceae","Monoecious","Temperate","mid to high",NA,NA,NA,"birds, mammals, rodents","500","30","Y",4779.8,"Y","2 to 3","intolerant",NA,NA,NA,2.5,3,3,"Quercus_kelloggii",NA
"161","Quercus","laevis",NA,"Deciduous","2.5","2.5","High","Fagaceae","Monoecious","Temperate","low",NA,NA,"biotic","mammals, rodents",NA,NA,NA,1149.66,NA,NA,"intolerant",NA,NA,NA,NA,2.5,2.5,"Quercus_laevis","rodents, mammals"
"162","Quercus","laurifolia",NA,"Deciduous","1.3 to 1.6","1.3 to 1.6","Moderate","Fagaceae","Monoecious","Temperate","low",NA,"wind","biotic","rodents","70","15",NA,810.99,"N","3 to 4","tolerant",0.633223684,NA,NA,3.5,1.45,1.45,"Quercus_laurifolia","gravity, rodents"
"163","Quercus","lyrata",NA,"Deciduous","1.3 to 2.5","1.3 to 2.5",NA,"Fagaceae","Monoecious","Temperate","low",NA,NA,"both","rodents","400","25","Y",3243.47,"Y","2 to 3","intermediate",NA,NA,NA,2.5,1.9,1.9,"Quercus_lyrata","water, rodents, birds"
"164","Quercus","macrocarpa",NA,"Deciduous","2.5 to 5","2.5 to 5","High","Fagaceae","Monoecious","Temperate","low to mid",NA,NA,"both","rodents","300","35","Y",6144.8,"Y","3 to 5","intermediate",NA,NA,NA,4,3.75,3.75,"Quercus_macrocarpa","gravity, wind, rodents"
"165","Quercus","michauxii",NA,"Deciduous","1.9 to 3.2","1.9 to 3.2",NA,"Fagaceae","Monoecious","Temperate","low",NA,NA,"biotic","mammals, rodents","200","20",NA,5339.96,"Y",NA,"intolerant",0.685307018,NA,NA,NA,2.55,2.55,"Quercus_michauxii","animals, rodents"
"166","Quercus","muehlenbergii",NA,"Deciduous","1.3 to 2.5","1.3 to 2.5","High","Fagaceae","Monoecious","Temperate","low to mid",NA,NA,"both","birds, rodents","250",NA,NA,1192.16,"Y",NA,"intolerant",NA,NA,NA,NA,1.9,1.9,"Quercus_muehlenbergii","gravity, birds, rodents"
"167","Quercus","nigra",NA,"Deciduous","1 to 1.5","1 to 1.5","Low","Fagaceae","Monoecious","Temperate","low",NA,NA,"both","mammals","50","20","Y",1138.91,"Y",NA,"intolerant",0.718201754,NA,NA,NA,1.25,1.25,"Quercus_nigra","water, mammals"
"168","Quercus","nuttallii","Quercus texana","Deciduous","1.9 to 3.8","1.9 to 3.8",NA,"Fagaceae","Monoecious","Temperate to subtropical","low",NA,"wind","both","rodents",NA,"20","Y",4774.65,"Y","3 to 4","intolerant",NA,NA,NA,3.5,2.85,2.85,"Quercus texana","water, rodents, birds"
"169","Quercus","palustris",NA,"Deciduous","0.9 to 1.6","0.9 to 1.6","Low","Fagaceae","Monoecious","Temperate","low",NA,"wind","biotic","birds, rodents","150","20","Y",1087.15,"Y","3 to 4","intolerant",NA,NA,NA,3.5,1.25,1.25,"Quercus_palustris","rodents, birds"
"170","Quercus","phellos",NA,"Deciduous","1 to 1.5","1 to 1.5","High","Fagaceae","Monoecious","Temperate","low",NA,NA,"both","mammals, rodents","150","20","Y",893.36,"N",NA,"intolerant",NA,NA,NA,NA,1.25,1.25,"Quercus_phellos","water, mammals"
"171","Quercus","prinus","Quercus montana","Deciduous","2.5 to 3.8","2.5 to 3.8","High","Fagaceae","Monoecious","Temperate","mid",NA,"wind",NA,"birds, mammals, rodents","400","20","Y",NA,"Y",NA,"intermediate",NA,NA,NA,NA,3.15,3.15,"Quercus montana",NA
"172","Quercus","rubra",NA,"Deciduous","2 to 3","2 to 3","High","Fagaceae","Monoecious","Temperate","low to mid",NA,NA,"biotic",NA,"400","25","Y",3143.26,"Y","2 to 5","intermediate",NA,NA,NA,3.5,2.5,2.5,"Quercus_rubra","gravity, rodents"
"173","Quercus","shumardii",NA,"Deciduous","1.4 to 3","1.4 to 3","High","Fagaceae","Monoecious","Temperate","low",NA,NA,"biotic","birds, mammals, rodents",NA,"25","Y",4540.46,"Y","2 to 3","intolerant",0.690789474,NA,NA,2.5,2.2,2.2,"Quercus_shumardii","mammals, birds"
"174","Quercus","stellata",NA,"Deciduous","1.3 to 2.5","1.3 to 2.5","High","Fagaceae","Monoecious","Temperate","low to mid",NA,NA,"biotic","birds, mammals, rodents","450","25","N",1194.83,"Y","2 to 3","intolerant",0.657894737,NA,NA,2.5,1.9,1.9,"Quercus_stellata","rodents"
"175","Quercus","velutina",NA,"Deciduous","1.2 to 2.5","1.2 to 2.5","High","Fagaceae","Monoecious","Temperate","low to mid",NA,NA,"both","birds, insects, mammals","200","20","Y",1852.46,"Y","2 to 3","intermediate",NA,NA,NA,2.5,1.85,1.85,"Quercus_velutina","gravity, rodents, birds, mammals"
"176","Quercus","virginiana",NA,"Evergreen","1.2 to 2.5","1.2 to 2.5","Moderate","Fagaceae","Monoecious","Temperate to subtropical","low",NA,NA,"biotic","birds, mammals","300",NA,NA,1238.87,"N",NA,"intermediate",NA,NA,NA,NA,1.85,1.85,"Quercus_virginiana","gravity, mammals"
"177","Robinia","pseudoacacia",NA,"Deciduous","52900/kg",NA,"High","Leguminosae","Monoecious","Temperate","low to mid",NA,"animals",NA,"birds, rodents","100","6","Y",19.25,"Y",NA,"intolerant",NA,10.8,43.2,NA,NA,NA,"Robinia_pseudoacacia",NA
"178","Sabal","palmetto",NA,"Evergreen",NA,NA,"High","Palmae","Monoecious","Tropical to subtropical","low","4-6 weeks","animals","both","insects",NA,NA,"Y",313.95,"N",NA,"tolerant",NA,NA,NA,NA,NA,NA,"Sabal_palmetto","water, mammals"
"179","Salix","nigra",NA,"Deciduous",NA,NA,"Low","Salicaceae","Dioecious","Temperate","low",NA,"wind and animals","abiotic",NA,"100","10","N",0.06,"N",NA,"intolerant",NA,NA,NA,NA,NA,NA,"Salix_nigra","wind, water"
"180","Sassafras","albidum",NA,"Deciduous",NA,NA,"High","Lauraceae","Dioecious","Temperate","low to mid",NA,NA,"both",NA,NA,"10","Y",78.53,"Y","1 to 2","intolerant",NA,NA,NA,1.5,NA,NA,"Sassafras_albidum","water, mammals, birds"
"181","Tabebuia","heterophylla",NA,"Deciduous","70000/kg",NA,"High","Bignoniaceae",NA,"Tropical","low",NA,NA,"abiotic",NA,NA,NA,"N",8.92,NA,NA,"intolerant",NA,NA,NA,NA,NA,NA,"Tabebuia_heterophylla","wind"
"182","Tilia","americana",NA,"Deciduous",NA,NA,"Moderate","Tiliaceae","Monoecious","Temperate","low to mid",NA,"animals","both","rodents","200","15","Y",108.14,"Y",NA,"tolerant",NA,NA,NA,NA,NA,NA,"Tilia_americana","gravity, wind, mammals"
"183","Tilia","heterophylla",NA,"Deciduous",NA,NA,NA,"Tiliaceae",NA,"Temperate","low to mid",NA,"animals","abiotic",NA,NA,NA,"Y",NA,NA,NA,"tolerant",NA,NA,NA,NA,NA,NA,"Tilia_heterophylla","wind"
"184","Ulmus","alata",NA,"Deciduous",NA,NA,"High","Ulmaceae",NA,"Temperate","low to mid",NA,NA,"abiotic","birds, mammals","100",NA,NA,4,NA,NA,"intolerant",NA,NA,NA,NA,NA,NA,"Ulmus_alata","wind, water"
"185","Ulmus","americana",NA,"Deciduous","2","3.5 to 4.5","High","Ulmaceae","Monoecious","Temperate","low",NA,"wind","abiotic","mammals","400","15","N",5.04,"N",NA,"intermediate",NA,25.6,NA,NA,2,4,"Ulmus_americana","wind"
"186","Ulmus","crassifolia",NA,"Deciduous","0.6 to 1.3",NA,"High","Ulmaceae",NA,"Temperate","low to mid",NA,NA,"abiotic","birds","100",NA,"Y",6.27,NA,NA,"intermediate",NA,NA,NA,NA,0.95,NA,"Ulmus_crassifolia","wind"
"187","Ulmus","rubra",NA,"Deciduous","1.2 to 1.8",NA,"High","Ulmaceae","Monoecious","Temperate","low to mid",NA,NA,"abiotic","birds, mammals","200","15","Y",9.98,"Y","2 to 4","tolerant",NA,NA,NA,3,1.5,NA,"Ulmus_rubra","gravity, wind"
"188","Ulmus","serotina",NA,"Deciduous","1 to 1.3",NA,"Moderate","Ulmaceae",NA,"Temperate","low to mid",NA,"wind","abiotic","birds, mammals",NA,NA,"Y",3.01,"Y","2 to 3","tolerant",NA,NA,NA,2.5,1.15,NA,"Ulmus_serotina","gravity, wind"
"189","Ulmus","thomasii",NA,"Deciduous","1 to 1.5",NA,NA,"Ulmaceae",NA,"Temperate","low to mid",NA,"wind","both","birds, mammals, rodents","300","20",NA,60.5,"Y","3 to 4","tolerant",NA,NA,NA,3.5,1.25,NA,"Ulmus_thomasii","wind, water, mammals"
"190","Umbellularia","californica",NA,"Evergreen","1 to 2.5","15","High","Lauraceae","Monoecious","Temperate","low to mid",NA,"animals","both","birds, rodents","200","30 to 40","Y",1801.29,"N",NA,"tolerant",NA,NA,NA,NA,1.75,15,"Umbellularia_californica","gravity, wind, water, mammals"
